Tweet,Text Label
 oh man. the malls are a mess  it grosses me out. ohhh capitalist dogma  how i hate you,Bullying
i hate when shows take holiday breaks. its killer to my free time.,Non-Bullying
where'd ya put it? o btw: "kick ass quote Copyright&#169; 2009 @abcd91 All Rights Reserved",Bullying
It sucks to be done with exams n still be @ Mayag.,Bullying
I'm such a pizza freak... Mmm.,Non-Bullying
Epic WINS for Fuck City&lt;3,Bullying
Has it snowed where you are?? I miss the damn snow. I haven't seen any in forever. Everyone has some snow but me :( lol,Bullying
 aren't you just super special.  I will not know the sweetness of sleep until about 9 tonight. I hate grad school. I want out!,Bullying
fuck yes.  I hate them at work...,Bullying
Holy ass hell balls!!!  $260 for premium????  Fuck upgrading.  I will fucking cope with Basic,Bullying
but seriously...  WHY THE HELL ARE YOU STILL ONLINE????  Were you injured in god damn 'NAM or something???  GO!!!,Bullying
damn. Don't want to visit a country that doesn't allow passport smile. Just want to go to Cabo soon.,Bullying
I've never been to New York  and Peyton was an ass when the Chargers wanted to draft him  but I do love to win.,Bullying
Oh honey  just hold in your mind the rankest thing a guy has ever done to piss you off  and you'll have bitchy in no time.,Non-Bullying
damn.  did you buy bitchy too?,Bullying
then by all means  bitch away! haha.,Bullying
sucks that ppl will do anything to make a buck. i just love how your fans are calling them out. and i'm glad your iphone is safe.,Bullying
Let that pussy freeze. Rotten bitey little bastard.,Bullying
...okay. Maybe ONE more thing to look at on the interwebs. Damn you.,Non-Bullying
Damn! now I remember that people used to call you Benyl! forgot that little detail  you see,Non-Bullying
Dood! You just justified your MBA. I pity the sorry ass of that downtrodden employee whose manager you'll soon become.,Bullying
hehehe. mine pleasure. Btw I too so loves it  when people be presumptous pricksy wicksies! feel jolly nice for me ass to rub on.,Bullying
I've only lived a quarter of my life and no crisis so far... loser experience  yeah...couple of kinky pinky stuff-yeah. But crisis? Naa,Bullying
imagine a building. not any building...a fucking 300 acre building full of weed....not any weed...but Caucasian Monkey-fuck Weed!,Bullying
pretty much all bus drivers are fat... Besides Flavio.,Non-Bullying
Ugh  twitter stop it  you fucking slut.,Bullying
HAHAHAHAHAHAHAHAHAHAHAHAHA (eww now thats fucking gross!) HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAAHAHAAHAHAAH,Bullying
http://twitpic.com/sbrn - we hate you phil. doesnt TV want you yet?,Non-Bullying
cute video lexi u hve some of the of the weridest & cutest little toys i know wht u'll say (shut the fuck up ACH) haha,Bullying
Fuck the pics! @giove_dea WE WANT VIDS!!,Bullying
Hard to play because it is damn fucking awful,Bullying
you got that right! People stealing others' generators  & other stuff inside the homes when they know no one's home..sucks big time,Bullying
no grown man should include DIP in his sentence....lol...I know I'm hatin but fuck it I'm lookin @ snow..lol,Bullying
Thanks  Yeah shes fine they have her sedated..we hate hospitals so she was being a bit rude. So they knocked he out!,Non-Bullying
oh god  we have an icp display in our window  and weve been getting so many fucking juggalos and they smell sooo bad.,Bullying
you should have her talk to @junsten about that. Similarly  he once told me  completely out of the blue  "I'd hate to be a bird.",Bullying
I nominate @PRsarahevans for a Shorty Award in #socialmedia because... Shes damn good at everything to do with Social Media.,Bullying
hate friendfeed...especially since Scoble endorses it :),Non-Bullying
Captain Jean Luc Pic-card of the USS Enter-prize  Captain Jean Luc Pic-Y'KNOW WHAT? FUCK YOU  TEMPLESMITH!,Bullying
FUCK YOU RIGHT IN THE FILTHY PUCKERING SPHINCTER YOU CALL A SOUL!,Bullying
damn. oh well. i'll have to go find someone who's trained or something...wait  my WIFE is getting trained. now THAT's an idea!,Non-Bullying
You're going too? Fun.  @JesusNeedsNewPR I hate job hunting,Non-Bullying
damn . . . now I really  REALLY want breakfast food!,Non-Bullying
another downside to living in DSM but working in Indianola:  lunch meetups are usually not possible. :( damn isolation!!!,Bullying
ughhh that sucks!!!!   How'd you get back from Sterling?,Non-Bullying
there's nothing better than listening to music on shuffle and hearing you say "you bitch!" randomly in the middle of it.,Bullying
I hate it. Horrible stuff.,Non-Bullying
I got it. How many damn websites do u have homie! Sheesh!,Bullying
U know they all the same dame spot! I bet ya'll got the same damn middle eastern type of cats cooking that crack up too!,Bullying
 kno I check ur blog out! Alpha females vs being a bitch.....damn u be analyzing!,Bullying
That sucks. Poor baby Andy. Hope he gets better.,Non-Bullying
OMG again eating :P yaar u eat alot but u don't look so fat what is the sceen behind this :S,Non-Bullying
haris i m trying to control my fat tummy did'nt eat from 2 days :D,Bullying
wx in ny sucks! haha lots of snowww and blowing wind!,Non-Bullying
700. you glutinous bitch!,Bullying
LULZ is gay!,Non-Bullying
Ok  you're starting to sell me on these vinyl toys (damn  that sounds bad),Bullying
So true  so true.  Lame ass people are now officially off my radar!!!! Bu-bye!,Bullying
lo thankyou.. will see you soon :) and i hav to send a mail to u damn!,Bullying
Fuck yeah! :P Where've you been ...?,Non-Bullying
Have you tried 'fuck' and 'Fuck'? (yes  they are different),Bullying
Well  not unless he wants some hot Vulcan action.  It only happens once every seven years  but damn  is it worth it.,Bullying
damn i was hoping for some cash out of this... how bout 5 for pain and suffering lol,Bullying
that sucks... she should prolly just change her major lol,Bullying
that sucks... so are there plans to get back together? or are they done?,Bullying
you are a fatty fat fat,Bullying
I HATE when that happens!,Non-Bullying
you never posted your blog. and today is guest blog day. get with the program my slut pink zebra. LOL loveee you anyway!,Bullying
they're not gross. U shaddup u fat ass HATER!!! & yes I made them for mark & my son.,Bullying
no one likes every fat snack u do bitch! so shaddup ahahahahaha,Bullying
stop the hateration bitch! it's only gonna make that mohawk stand up rotf!!!,Bullying
ask him why he's jumping out of the window. And ask him hows he gonna do it in those tight ass jeans???,Bullying
'Night Guy' is ALL motivated @ 11pm but he knows 'Morning Guy' is gonna hate him when Miss Emily arrives at 5:30am ;-) Night Tweets!,Bullying
OK but I'm telling you  it's going to be hard for me to fight my inner grammar nerd. I'll do it for the cause though ;),Bullying
What I HATE are white collars on colored shirts.,Non-Bullying
that sucks. Where are you trying to watch it?,Non-Bullying
mythbusters is a great and nerdy show. Embrace your inner nerd..no suprise they were on the launch of youtube live ha NERDZ ROOL,Bullying
lol @ "the bitch". damn.,Bullying
damn. thats crazy early. i wont hit the city til 9:30 but i will be a few blocks from the spot.,Bullying
Slurpees are awesome. Damn  now I really really want one O.o,Bullying
I can see it now. "Listen  you cow-loving yahoos  just put all of the slurpee in this bag! What? Cups? I don't need fucking cups!,Bullying
lol I hate you. And by hate  I mean love  but I still hate you XD,Non-Bullying
i loved it  i laughed my ass off,Bullying
ahh  you might be on to something...damn techies,Bullying
The pig of shame? Lol! Is that like the aardvark of discontent?,Bullying
Still - it's damn moronic that media people can't access media - particularly media made by their own company!,Bullying
if anyone said Arial I'm gonna beat their ass.,Bullying
well find him and kick his butt too! I hate it when people take advantage of the mentally challenged.,Bullying
Tell her she says Bitch like it's a bad thing,Bullying
I did have a moment of seriously considering that. I mean... my Dirt Devil sucks. But I didn't plan on buying a new one soon,Bullying
my time sucks... having a difficult time MANAGING w/o the structure of college classes but I really want to work w/ you on it,Non-Bullying
Ugh! I hate when I get spam followers... They shouldn't count against our talley of actual followers... :-p,Bullying
You know what you are? You're like a big bear with claws and with fangs... big fucking teeth  man.,Bullying
Damn  you're totally geeking out on us tonite.,Bullying
Ha! If I were your neighbor  you'd be tweeting about that bitch next door with the loud music. Admit it.,Non-Bullying
Stumped on that one...hate to admit it!,Non-Bullying
Well  well  well...damn that sounds fantastic LOL I'm sorry  what exactly was it that you wanted?,Non-Bullying
the eagle w/ @leahsairy ... Decided 2 not do power lesbian night @ mecca & hang out w/ our real queer ppl 2night. gr8 indy band. Emo punk.,Bullying
ugh that sucks babe,Non-Bullying
we are so silly and pathetic and so fucking cool! You tellin me you choking made me choke! And I am sitting next to some girl w ...,Bullying
damn straight! Happy birthday Maddie!!! Xoxoxo.,Non-Bullying
that is great. I would hate for you to have that big truck come by during the holidays.,Non-Bullying
Let your hate for Gambit grow. Embrace it. Spread it.,Bullying
dig deep and find that special Christmas hate!,Bullying
I tried to rickroll my office christmas party last night but the damn band didn't know it!,Bullying
even though I was at the same lunch as you  we missed you at our end of the table! Need a damn smart phone! Coulda tweeted back.,Bullying
I've never found a way so I "star" those. I love GMail when I don't hate it.,Non-Bullying
Smack a bitch? :-D,Bullying
Hate what ?,Non-Bullying
rock  not the. He gives the emo populists limp wrist rocker throw.,Bullying
Already on the coffee. I love her  but hate the whole spite thing. Climbed right on top of me to do it!,Bullying
i feel fucking great get me another drink,Bullying
"OMG I LOVE THAT SONG XD

ITS FUCKING HILARIOUS",Non-Bullying
I hate auntie flow too.  I should be starting soon. :(  I gained weight this week from pms (eating a lot)!,Non-Bullying
How do you do that? I HATE my Blackjack so much I have almost resorted to violence?,Non-Bullying
You've got 5" of snow?  Damn.  I'm jealous.,Bullying
It just sucks that so many use it as a crutch.,Bullying
They say I have the best ass this side of fourteenth street.,Bullying
yes i love the pillows  livejournal jrock rotations (get an lj  they're sick) and uhh fuck i dunno  twitter?? just the site,Bullying
ha not that creepy. because it's week 10 and I'm fucking stressed out as hell. I wish I could take a trip down there x.x,Bullying
if the opportunity arises  aye aye. God  I hate kids.,Non-Bullying
Fuck  amen to that,Bullying
Aww... Dnt hate the weather  rain can be so soothing sometimes!^^ I still have one more test DD:,Bullying
I knw!!!!!  I hate that! D:,Bullying
Aww. Thanks dear. And I hate my gradeschool friends for ditching me. They forgot about me when we are suppose to be at her wake.=(,Bullying
yeah. i had to beg the stupid teacher. it was so gay.,Bullying
yeah we all call her a whore and shes all don't call me that! So i called her a slut. And she said im a tease! And i told her  ...,Bullying
told ya she was fat! she's loyal tho  she has this goin for her...,Bullying
if you tweet about that damn song one more time.... And its on the Scion double disc promo cd,Bullying
I have all th nerd at home and I'm a smart ass too. So I answered you,Bullying
u got me lemming for some laneige whitening shit! ive been breakin out lately n i need somethin to whiten my damn acne scars bleh,Bullying
you're not a twitter slut until you show us full frontal nudity... so until then you're just a tease =P,Bullying
haha... so you want to be a twitter slut... alright  fine... i'll be waiting for the moment you mature from a tease to a slut!,Bullying
and there were only 5 of us.. it was a night that i've already forgotten... damn the alcohol,Bullying
I like the verses to the song....just not that lame ass auto tuning nigga on the hook,Bullying
hold up nigga..u cant hate Jay-Z...might have to beat yo ass like that nigga did when that other guy said F Tupac...lmao,Bullying
way to damn hard,Bullying
the explosion of social media into mainstream business.  We will see everyone joining Twitter  its the "year of the nerd",Bullying
but...but...to hate them is sin!!! just give me the ones you get angry with...i'll take care of them! hahaha,Bullying
DOGS LICK THEIR ASS...NEED I SAY MORE? DOG.,Bullying
No  I HATE those commercials! Just GROSS. *gag* Okay okay  you've got an hour before showtime. hehehe &#9829;,Bullying
yeah hes fucking serious,Non-Bullying
it was a joke haha. i figured id be emo too since everyone is complaining on here,Bullying
Being on fire is "safe"? I'd hate to see what you consider peril!,Non-Bullying
It sucks though when you have nothing to do at 4AM and your roommate wants to sleep.,Bullying
o so the rumors are true i am OBESE! yea fat!,Bullying
girlfriend where the fuck did u find that photo! lmao!,Bullying
ur a damn fool lmao,Bullying
They're not my preference  but the app is so damn fast and thorough that I let it slide.,Bullying
 Ha! Yeah  that caught my attention  too. Now wait & watch for Red Wings fans to freak. I'm gonna make popcorn for that show :),Bullying
Tell them you want YouTube to quit fucking with things that no one wants fucked with.,Bullying
No  you just piss out anything your body won't absorb.,Bullying
Doh! dont you hate it when that happens  I keep meaning to take a backup myself,Bullying
Damn he's doing sneeks for Nike and Louis Vuitton? Dude's gonna be rolling in dollar...,Bullying
Mate it is. In Newcastle it was -1  down Bath -6  it's fucking brassic cold,Bullying
"
Can ANYBODY  ANYBODY PLEASE TELL ME what LMAO means???
This is a CRY 4 HELP!!!
WHAT THE FUCK DOES IT MEAN???
hate text talking",Bullying
Sure  name your price. Oh fuck  sorry I'm not THAT pissed,Non-Bullying
: And whilst on the subject  all Aussie drivers should be reminded KEEP LEFT UNLESS OVERTAKING. Damn middle lane owners club!,Bullying
less #damn-fridays  more #bad_wookie_pun,Bullying
fuck...I forgot,Non-Bullying
women are fucking disgusting.,Bullying
you bet your sweet ass you will!,Bullying
i hate myspaces people you should know,Non-Bullying
dating a 4 year old? Damn. You're faster than me. I only caught 3 year olds name.,Bullying
 will do when i get home  only time i heard it was warped though  fuck life!,Bullying
ah damn!,Non-Bullying
the beef stew from that latin place? I fucking loved their coffee i wanna eat there again.,Non-Bullying
AHHHH. Brandy!!!! I LOVE 'HUMAN' like a fat kid loves cake! Thank you for making this album. AHHHHH I love you girl!! OMG!!!!!!,Non-Bullying
Man  why u live in NYC in that crazy ass weather. Move out to LA. It's nice EVERYDAY. NYC is soo over-rated! lol,Bullying
i got ur ticks  but yo ass ain't gonna come! lol,Bullying
Ugh  ok... I hate NYC also. Hmmm. thinking...We are having a Screening on the FOX Lot that week. Maybe u can roll through?,Bullying
Dude. That. Sucks. :(,Non-Bullying
haha thats sucks.. if that happened to me  idk what i would have done.,Non-Bullying
stuff like building the forums is what I do when writing is kicking my ass  that's how I do it ;),Bullying
Also  I caught that "Gai-damn" earlier  and I support it 100% ;),Bullying
gee  i'd hate to see what you say about the family ;),Bullying
dude dont tell me what to do thats not your place. i do what i want. just chill the fuck out and worry about yourself.,Bullying
oooo she's gonna go kick your ass now XD,Non-Bullying
damn fine! The snow is gone thank god!,Bullying
That sucks.  Life can't really be that bad  right?  Chocolate does always help.,Bullying
i hate you :P happy birthday dude  good to know your enjoying it,Bullying
thats a good question.  most lawyers HATE that stuff.,Bullying
YOU STUPID WHORE I HOPE YOU ARE IN YOUR HOUSE WHEN I BURN DOWN YOUR HOUSE YOU STUPID WHORE WHY WOULDN'T YOU GO TO PROM WITH ME,Bullying
oh guess who got an australian shephard puppy today. note: NOT ME. the other roommate. yeah. another. fucking. dog.,Bullying
ummm. Ya. That's pretty damn pimp.,Bullying
as much as I hate the winter  those pics are beautiful. We've had insane-o storms like that in MO. Sucks so bad  esp sans power,Bullying
got delayed.  your ass kicking will have to wait.,Bullying
I know it sucks  but I'm actually envious of you.  Though I have orientation for a tutoring program on the 14th.  Did I tell you?,Bullying
it was just a joke man..i wasnt taking the piss out of anything.,Bullying
I HATE tht,Non-Bullying
i hate your face sounds EXACTLY like something i would say.also reminds me of a drunk girl trying to fight me and,Bullying
whale wars?? sounds epic.,Non-Bullying
can't you wind the flash levels down? I hate flash  I'd rip the things off if I could...,Non-Bullying
i was spanked but do not  only because it makes my kid behave worse  so doesn't work. not a lot does work-kinda sucks too.,Bullying
I've been messing around with some of the beta releases. It murders every other WP version (widget panel still sucks though).,Bullying
Are you laughing your ass off with all these "juicy" twits?,Bullying
yeah we do... damn this time difference *HUGS*,Bullying
OMG bundesliga and brasilian bossanova. This was worse than seeing your loved family dog licking his ass. I'm scarred,Bullying
hmm so thats suk your soul hate and reinvent you to get my dry cleaning hate?,Bullying
LOL!!  It's ok to admit that you got fat  or phat :-P. Hahahahaha jk :-D.,Non-Bullying
"drm sucks.
-a",Non-Bullying
drm sucks.,Non-Bullying
yep. I didn't think to go online and check calorie/fat count until AFTER dinner. Bummer.,Bullying
wow - mommy's little cheerleader! *must... not... take... the...piss......*,Bullying
lol.. that sucks..it's so nice in miami... catching that ocean breeze from the balcony....don't want to rub it in...lol,Bullying
oh hot damn!,Bullying
He can't hear you  his head's too far up his own ass.,Bullying
Prison Bitch is a sparkling addition to any resume.,Bullying
a constant receiver does not a giver make. Prepare to be Prison Bitch Blagojevich (new campaign slogan  it rhymes),Bullying
that sucks that you're sick. Sorry to hear that.,Bullying
No thanks. I don't want cable. I hate most TV shows. I really hate commercials. I get my news online. I'm good. :),Bullying
try telling your parents that you don't want to see them. see how well that fucking works out for you  yeah?,Bullying
Football. I hate it. It&#8217;s official  I&#8217;m bad luck.,Bullying
I fucking love Haunted.,Bullying
I didn't know you were an avid football watcher. Is that even football? I think it is. Fuck sports.,Bullying
lol kevin bought me damn near nothing and we dated for over 10 months. my life sucks.,Bullying
Yea it sucks!!,Bullying
Indeed. But the Collier conversation relationship head up your gleeful ass kumbaya stuff needs to be put out with the trash.,Bullying
yeah i am glad i have the next 2 days off.. I just have to get through xmas eve and the weekend afterwards. damn gift cards,Bullying
hot damn! did you get an iPhone too?,Bullying
aw  thanks. it's going better than yesterday  that's for damn sure. :-D,Bullying
no. i must have missed that one. damn. ;-),Bullying
have a safe flight.....damn now you make me want some jamba juice,Bullying
I got it for Wii  when I get back from my dad's we're gonna play and it will be so kick-ass.,Bullying
http://twitpic.com/xm6u - You have an inbox folder for CYA - Covering Your Ass?,Bullying
him and his damn tech stuff bwahaha,Bullying
i'm not emo. I'm fucking happy!,Bullying
well now I have to edit myself and you know how I hate that!,Bullying
if u get a stye is it from seeing a dog shitting or fucking?  And what do I do with my fingers?  Consult H if u need to.,Bullying
what does that say about me that I was laughing my ass of when I heard that. Rapping the word titties is just damn funny,Bullying
& I was there helping your ass pack to get on the plane. A tru friend - helping you track a sub sized weiner like fucking GPS,Bullying
you have officially been put on my bread stick mailing list. Fuck those rock republics and eat something already.,Bullying
i get that ha ha smart ass :p,Bullying
i feel pretty oh so pretty...i feel pretty and witty and gAY! Ha ha good times,Bullying
Yeah  I mean I know the plan and the creative are kick-ass. But sometimes clients have a warped view.,Bullying
Oh man  that sucks. @Vincentdooly can you help @dsmoore out?,Bullying
yea the weather sucks. At least you missed the 8 degree weather though lol.,Bullying
don't forget ppl sitting around working in a tshirt/boxers lol. J/K  my wife is a neat freak & believe it or not I kind of am too,Non-Bullying
I do  but I'm an American. Hence  I'm a pussy.,Bullying
God.. that commute has to be a bitch dealing with.. driving back and forth from Raleigh to Fayetteville...,Bullying
Crying. Literally. You win. I'm destroyed  laughing and crying and I hate and love you all at once.,Non-Bullying
I take full pride in being a nerd. Hahah.,Bullying
All computers hate you back! Haha...good luck.,Non-Bullying
Big Fat Quiz of The Year 2008 is on C4+1.,Non-Bullying
THAT'S AN UGLY ASS PICTURE!,Bullying
Pretty much  but now there will be less AIM errors! Weeeee  you can see that I don't type like a retard!,Bullying
damn it!,Non-Bullying
My grandmother is a big bitch and my father's a fraking arsehole.,Bullying
Thing I hate the most = Alternate side of the street parking rules.,Non-Bullying
you must be bored...you are a twitter whore today. ;),Bullying
man i'm jealous of your day! i'm also hooked on twitter. damn arv. like i needed another procrastinating tool like this.,Bullying
Awww bless  darling  you know you can *always* wear a wig and stilettos. In other news: National Treasure sucks.,Non-Bullying
just don't eat a meal replacement bar.. I fucking threw up!!,Bullying
fuck duke!,Bullying
what if their "you" really sucks? like  why be a wack person when you can be an imitation of a more cool person? i think this,Bullying
Weird. I gotta say  I love my pig.,Non-Bullying
There was a SVT tweet-up last night  damn I was down at BJ's in Cupertino till 7ish,Non-Bullying
2 weeks? how am I gonna live without money for 2 fucking weeks?,Bullying
i hate it when people buy stuff between thanksgiving and christmas!! Cuz then you don't know what to get them!!,Non-Bullying
Well get your ass busy!,Bullying
Hi new friend! I like your personality.super cool:) Yeah I forgot it is like 9 am there..that sucks!,Bullying
damn that sucks..I hope you are ok now,Bullying
haha! No. We have a new stand up board at work and we have barstools to sit on. I hate them!,Bullying
Excited that yr friends get to see yr show. I hate them. ;) No  rly  I do. .....Sad that tonite is last show.  Hard to say goodbye?,Bullying
Thanks. Nothing just watching "Jack ass". Are you having fun doing nothing over there?,Bullying
Well  that's upsetting. We can party it up over here. Jack's ass is quite enjoyable thank you,Bullying
Fuck. Well  you can for a low cost of 19.99 with shipping and handling. But that's only if you really want to.,Bullying
Fuck again. Call 1800QZAK. Then your problems will be solved. I might even get you a discount,Bullying
If you stay home to twitter and have a martini on NYE does that make you a loser?  don't answer that...  I don't want to know,Bullying
you're a fucking maniac.,Bullying
its ok decided not to go to fam party. going back to bed. wtf moon i hate you. wtf life. dead.,Bullying
HAHA WHYYYYY do you hate my school!? NOOOOOO :(:(:,Bullying
FUCK SUNDAY im super bummed.,Bullying
whelchers fuckin suck ass!,Bullying
some peoples drama just sucks!,Bullying
well that sux donkey dick. No interwebs is kinda a pain for ur work.,Bullying
Then she changed roles and she is a little less bitch from hell but still  her sting has too much barb.,Bullying
today feels like sunday.....damn lol,Bullying
Damn didnt even see that lol  : /,Bullying
HATE THAT...happened to me today i was like...YOUR WELCOME *cut eye* and walked back out lol,Bullying
i hate hate hate it with a passion!! lol...i know the calls are recorded i talk mad shyt down the phone LOL!!!,Bullying
don't you hate that?  Though I have so much product to make by the weekend I wish it was Tuesday.,Bullying
i think its a cultural fad.. starbucks coffee sucks and its wayy overpriced.,Bullying
i just deleted all the people that i have on my facebook off myspace Damn if everyone switched i could just delete the account,Bullying
Oh  heck! I was all ready to pull a Dan Rather and pronounce Dick Cheney dead.,Non-Bullying
In case it's not obvious  the rabbit  glasses and ass are not phone-cam pix.,Non-Bullying
Hate them.  If I'm not pulled in by their previous tweet content I might even unfollow.  Basically still selling to a stranger.,Non-Bullying
no! I think UofA's navy jerseys on white pants rule.  And all red sucks. But seeing BYUs colors  I guess all red makes sense.,Bullying
here 2!Another big storm is blowing our way. I hope it waits until I'm home from work b4 it starts snowing. Hate driving in it!,Bullying
no i think you will hate it. Its a bunch of dirty work.,Bullying
the iced media party. Long ass day at the office  time for a drink or 3,Bullying
easy! keyshia sucks. It's pathetic when an actor makes a better album in his 3rd profession (act  stand up) than you do in your first,Bullying
@TheflyGIRL Done! But I must tell you  that negro got a hard ass head. My elbow hurts...,Bullying
LOL at the Razor Ramon shit. I surely was gonna Ultimate Warrior his ass. Shaking the ropes and the whole 9!,Bullying
You done started something! Got me all nostalgic and shit KNOWING good and damn well I got work to do...LOL,Bullying
@mekdot yo...heroes sucks!!! I loved season 1  despised 2 and feel like season 3 is a lousy high school special. BOO HISS BOO!!,Bullying
Actually I have some problems with the British pronunciation... And yes  my Internet service sucks..,Non-Bullying
That sucks  they owe you much?,Bullying
Boo  to be fair they shouldn't give away your room. Kick their ass!,Bullying
Wow  that's bad-ass. You're like Stanley now. Well  even more so...,Bullying
lol figured. So anyway  anna is still being a bitch(sorry for the language) She doesnt want to go on the trip. So now onto plan B,Bullying
anna just has to ruin the holidays for me  just like every year. Damn you anna!,Bullying
those will sell like hot cocks....cakes...hot cakes...damn it!,Non-Bullying
it's the power of having ass loads of money....some people could release an album of static and it'd still go platinum,Non-Bullying
damn  sorry to hear it,Non-Bullying
see previous. Damn twitter.,Non-Bullying
rock out with ur cock out dude!!!,Bullying
that's a shame  I hate having to unfollow someone! :-P,Bullying
BIG FAT HARD HAWAIIAN DICK. Too much?,Bullying
 i hate that too - i have blocked a few of stalker / serial networkers on fb too.  maybe they should tweet first?,Bullying
LOL - nah  that's just what we tell the loser guests that we usually toss down in the newsroom!! oh  wait...,Bullying
Israelis to Spanish FM ... Kiss my ass.,Bullying
No  but I'm saying that money that has gone into Gaza SHOULD be feeding people  not waging war and breding hate.,Bullying
I had a dream involving a rhino chasing me because of my polo cologne. Everyone says it represents a fat woman. My life sucks.,Bullying
Taking the piss = talking trash  perhaps,Bullying
